"adjid","item1","quantity1","supplier1","item1_unitprice","item1_total","supplier1_quotation_date","supplier1_quotation","supplier2","supplier2_unitprice1","supplier2_total1","supplier2_quotation_date","supplier2_quotation","supplier3","supplier3_unitprice1","supplier3_total1","supplier3_quotation_date","supplier3_quotation","description","specifications","award1","pr_number","date_created","section_code","remarks","direct_purchase1","direct_purchase2","direct_purchase3","direct_purchase4","direct_purchase5","direct_purchase6","direct_purchase7","direct_purchase8","direct_purchase9","direct_purchase10","service_type","ace","ace_spec","proc_ref","region"
"D22020750","zim independent","1","alpha media","1.00","1.00","2022-02-07","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Newspaper subs for RMT members","specs/","alpha media","10225120","2022-02-07 13:03:21","523001",,"direct_purchases/scan0090.pdf",,,,,,,,,,"Direct Purchase",,,"acc473810","harare"
"D22021112","coffee ingredients","1","tsebo servcor","10008960.00","10008960.00","2022-02-11","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Coffee ingredients for Wynne street coffee machines","specs/","tsebo servcor","10225490","2022-02-11 14:22:37","523001",,"direct_purchases/ZETDC SAUNGWEME 10.02.22.pdf",,,,,,,,,,"Direct Purchase",,,"acc473690","harare"
"D22021139","SIGNAGE","1","FALCON SIGNAGE SUPPLIES","196534.00","196534.00","2022-02-11","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," SIGNAGE FOR CBD DEPOT","specs/","FALCON SIGNAGE SUPPLIES","10225473","2022-02-11 14:09:27","524702",,"direct_purchases/FALCON SIGNAGE SUPPLIES DEPOT SIGNAGE.pdf",,,,,,,,,,"Direct Purchase",,,"acc475500","harare"
"D22021556","Security GM Residency","1","Safeguard","2017400.00","2017400.00","2022-02-15","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Safaguard security services Dunkeld Residency Feb 2022","specs/","Safeguard","10225657","2022-02-15 13:40:12","523001",,"direct_purchases/ALAINV204153(ALA-EZE016)(Safeguard Alarms Private Limited )(2022-02-01) (1).pdf",,,,,,,,,,"Direct Purchase",,,"acc474030","harare"
"D22022585","Rent ","1","Stohill","120000.00","120000.00","2022-02-25","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Payment of rent to Stohill for Hwami K","specs/","Stohill","10226298","2022-02-25 13:11:42","523001",,"direct_purchases/scan0115.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22022813","PYTHON PROGRAMMING TRAINING","1","SIRDIC","325000.00","325000.00","2022-02-22","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," PYTHON / DJANGO TRAINING","specs/","SIRDIC","10226329","2022-02-28 11:07:22","527001",,"direct_purchases/SIRDC INVOICE.pdf",,,,,,,,,,"Direct Purchase",,,"acc473620","harare"
"D22022893","Sanitary services for Feb 2022","1","CLEARDEAN PROPERTY CLEANERS","77970.00","77970.00","2022-02-18","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Sanitary Bins and services for Feb 2022","specs/","CLEARDEAN PROPERTY CLEANERS","10226371","2022-02-28 15:02:14","523001",,"direct_purchases/Fiscalised_Invoices.zip",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D22030292","PLAN APPROVAL FEES","1","Chitungwiza Municipality","93317.00","93317.00","2022-02-01","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," PLAN APPROVAL FEES FOR STAND NUMBER 19637 GARAGE AND STORES MAKONI","specs/","Chitungwiza Municipality","10226467","2022-03-02 09:24:32","524401",,"direct_purchases/PLAN APPROVAL COUNCIL.doc",,,,,,,,,,"Direct Purchase",,,"acc473430","harare"
"D22030440","Herald sunday mail","1","Zimbabwe Newspapers","73710.00","73710.00","2022-03-04","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Herald and Sunday mail for Rmt member 3 month Subs","specs/","Zimbabwe Newspapers","10226503","2022-03-04 13:08:48","523001",,"direct_purchases/scan0117.pdf",,,,,,,,,,"Direct Purchase",,,"acc473810","harare"
"D22030496","daily news ","1","Dily news","137903.00","137903.00","2022-03-04","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Daily news for Rmt member 3 month Subs","specs/","Dily news","10226504","2022-03-04 13:13:32","523001",,"direct_purchases/1646399612scan0116.pdf",,,,,,,,,,"Direct Purchase",,,"acc473810","harare"
"D22030972","Medical bill for Stephen Mpofu","1","Pioneering Health Group","59400.00","59400.00","2022-03-04","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Medical bill for Stephen Mpofu (Injury on duty)","specs/","Pioneering Health Group","10226967","2022-03-09 10:44:41","523001",,"direct_purchases/IMG_20220307_0001.jpg",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D2203102","IPMZ LABOUR TRAINING","1","iNSTITUTE OF PERSONNEL MANAGEMENT","28800.00","28800.00","2022-03-10","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," IPMZ LABOUR CLASS FOR 2022","specs/","iNSTITUTE OF PERSONNEL MANAGEMENT","10227051","2022-03-10 08:28:33","524401",,"direct_purchases/ipmz labour law.pdf",,,,,,,,,,"Direct Purchase",,,"acc473660","harare"
"D22031413","Adsl bundle","1","Telone","6641250.00","6641250.00","2022-03-14","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Adsl bundle for GM,FM & Hr section","specs/","Telone","10227171","2022-03-14 09:15:03","523001",,"direct_purchases/ZETDC UNLIMITED BUNDLES QUOTE (1).pdf",,,,,,,,,,"Direct Purchase",,,"acc473330","harare"
"D2203143","Accommodation for 3 people (NSSA Engineers Worksho","1","Elephant Hills Resort","403200.00","403200.00","2022-03-14","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Accommodation for 3 (NSSA Engineers Workshop in Victoria Falls)","specs/","Elephant Hills Resort","10227271","2022-03-14 15:26:08","523001",,"direct_purchases/ZETDC Harare Region EHR Proforma Invoice.pdf",,,,,,,,,,"Direct Purchase",,,"acc473620","harare"
"D22031446","NSSA Engineers Workshop-Conference fees (3 people)","1","NSSA","405000.00","405000.00","2022-03-14","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," NSSA Engineers Workshop-Conference fees","specs/","NSSA","10227274","2022-03-14 15:17:25","523001",,"direct_purchases/FW__Engineers_Workshop.zip",,,,,,,,,,"Direct Purchase",,,"acc473510","harare"
"D22031467","Under ground water fees","1","Upper Manyame","14987192.00","14987192.00","2022-03-14","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Under ground water fees for Makoni, zengeza, wynne st, dunkeld, cbd, mabvuku, warren park and suffolk","specs/","Upper Manyame","10227135","2022-03-14 09:11:33","523001",,"direct_purchases/Zesa invoice.pdf",,,,,,,,,,"Direct Purchase",,,"acc474000","harare"
"D22031471","Accommodation for 3 people (NSSA Engineers Worksho","1",,"0.00","0.00","2022-03-14","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Accommodation for 3 (NSSA Engineers Workshop in Victoria Falls)","specs/","Elephant Hills Resort","10227271","2022-03-14 15:26:32","523001",,"direct_purchases/1647271592ZETDC Harare Region EHR Proforma Invoice.pdf",,,,,,,,,,,,,"acc473620","harare"
"D22031484","NSSA Engineers Workshop-Flight fees (3 people)","1","FASTJET","256200.00","256200.00","2022-03-14","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Flight fares for 3 people (NSSA Engineers Workshop in Victoria Falls)","specs/","FASTJET","10227275","2022-03-14 15:23:12","523001",,"direct_purchases/scan0101.pdf",,,,,,,,,,"Direct Purchase",,,"acc476300","harare"
"D22031524","NSSA Engineers Workshop-Conference fees (5 people)","5","NSSA","135000.00","675000.00","2022-03-15","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," NSSA Engineers Workshop-Conference fees","specs/","NSSA","10227334","2022-03-15 11:45:14","523001",,"direct_purchases/1647344714FW__Engineers_Workshop.zip",,,,,,,,,,"Direct Purchase",,,"acc473510","harare"
"D2203156","NSSA Engineers Workshop-Flight fees (5 people)","1","Elephant Hills Resort","673200.00","673200.00","2022-03-15","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Accommodation for 5 people (NSSA Engineers workshop)","specs/","Elephant Hills Resort","10227335","2022-03-15 11:43:17","523001",,"direct_purchases/ZETDC Harare Region EHR Proforma Invoice (2).pdf","direct_purchases/African Sun Limited 2022 PRAZ Certificate .pdf",,,,,,,,,"Direct Purchase",,,"acc473620","harare"
"D22031577","everyday Milk","1","servcor Tsepo","4272000.00","4272000.00","2022-03-15","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Coffee machine everyday milk 400g","specs/","servcor Tsepo","10227300","2022-03-15 08:53:43","523001",,"direct_purchases/Scan0035 (1).pdf",,,,,,,,,,"Direct Purchase",,,"acc473690","harare"
"D2203158","FLIGHT FARES TO VICTORIA FALLS (INCL RETURN)","1","FASTJET","450501.00","450501.00","2022-03-15","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Flight fares (Harare to Victoria Falls and Return)","specs/","FASTJET","10227333","2022-03-15 11:55:41","523001",,"direct_purchases/1647345341BookingReceipt_B82GU2.pdf","direct_purchases/1647345341Fastjet Zimbabwe -PRAZ Bulk & Cargo 2022.pdf","direct_purchases/1647345341Fastjet Zimbabwe PRAZ- Passenger , Transport and Tour.pdf",,,,,,,,"Direct Purchase",,,"acc476300","harare"
"D22032213","Rent ","1","Stohill","12000000.00","12000000.00","2022-03-22","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Hwami April rent 2022","specs/","Stohill","10227853","2022-03-22 15:22:25","523001",,"direct_purchases/IMG_0001 (8).jpg",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22032215","Rent ","1","Guest and Tanner","6704000.00","6704000.00","2022-03-22","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent Mbavarira April 2022","specs/","Guest and Tanner","10227848","2022-03-22 15:15:10","523001",,"direct_purchases/ZETDC 2032 WESTGATE APRIL RENT ADVICE NOTE.docx",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22032238","Rent ","1","Zoomway","12000000.00","12000000.00","2022-03-22","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Satande April rent 2022","specs/","Zoomway","10227850","2022-03-22 15:13:50","523001",,"direct_purchases/Zetdc April  invoice_2.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22032242","Rent ","1","Sandevan","8040000.00","8040000.00","2022-03-22","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Makove April rent 2022","specs/","Sandevan","10227852","2022-03-22 15:08:27","523001",,"direct_purchases/MAKOVE March 2022.docx",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22032260","Rent ","1","Rodbel","5550000.00","5550000.00","2022-03-22","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Maindidze April rent 2022","specs/","Rodbel","10227844","2022-03-22 15:19:12","523001",,"direct_purchases/Tax Invoice - Zetdc - April 2022  - 12 Frederick Booth Ave (1).docx",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22032268","Rent ","1","higher dimension","6000000.00","6000000.00","2022-03-22","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Njenda April Rent 2022","specs/","higher dimension","10227842","2022-03-22 15:20:44","523001",,"direct_purchases/19 Dan Judson  April 20220001.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22032274","Rent ","1","Guest and Tanner","30809968.00","30809968.00","2022-03-22","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Ruwa Depot April 2022","specs/","Guest and Tanner","10227845","2022-03-22 15:16:34","523001",,"direct_purchases/ZETDC RUWA APRIL RENT.docx",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22032332","water coupons and refill galloons","100","ZLG","94000.00","9400000.00","2022-03-23","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," ZLG water coupons and bottles","specs/","ZLG","10227877","2022-03-23 06:50:07","524604",,"direct_purchases/ZLG WATER BOTTLES-PROFOMA.docx",,,,,,,,,,"Direct Purchase",,,"acc473700","harare"
"D22032854","Rent ","1","Crusader","20000000.00","20000000.00","2022-03-28","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent for Tachiona April 2022","specs/","Crusader","10228197","2022-03-28 11:33:16","523001",,"direct_purchases/scan0125.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22032893","Rent ","1","JJ maintenance","8700000.00","8700000.00","2022-03-28","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent for Mwale April 2022","specs/","JJ maintenance","10228199","2022-03-28 11:34:40","523001",,"direct_purchases/scan0124.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22032996","refuse collection","1","clean city","6382069.00","6382069.00","2022-03-29","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," refuse collection for Wynne street","specs/","clean city","10228242","2022-03-29 07:49:21","523001",,"direct_purchases/scan0126.pdf",,,,,,,,,,"Direct Purchase",,,"acc474020","harare"
"D22040899","Lunch and Beverages","1","Mambos","634716.00","634716.00","2022-04-08","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Purchasing of Lunch and Beverages for IPMP Training from 4-8 April  2022
","specs/","Mambos","10228797","2022-04-08 07:25:02","523001",,"direct_purchases/scan0035.pdf",,,,,,,,,,"Direct Purchase",,,"acc473510","harare"
"D22041280","Paint ","20","ASTRA PAINTS","12569.00","251380.00","2022-04-12","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," PAINT FOR CHITUNGWIZA DISTRICT ","specs/","ASTRA PAINTS","10229037","2022-04-12 13:12:09","524402",,"direct_purchases/scan0315.pdf",,,,,,,,,,"Direct Purchase",,,"acc404110","harare"
"D22041933","daily news ","1","Dily news","204750.00","204750.00","2022-04-19","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Newspaper subs for Rmt members Daily news","specs/","Dily news","10229263","2022-04-19 13:43:10","523001",,"direct_purchases/ZETDC (MUTAMBIRWA) APRIL.xls",,,,,,,,,,"Direct Purchase",,,"acc473810","harare"
"D22041934","financial gazette","1","Modus media","60000.00","60000.00","2022-04-19","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Financial Gazette for Rmt members","specs/","Modus media","10229260","2022-04-19 13:41:14","523001",,"direct_purchases/FINGAZ SUBS INVOICE - ZETDC WYNNE STREET (2).pdf",,,,,,,,,,"Direct Purchase",,,"acc473810","harare"
"D22041948","Adsl bundle","1","Telone","75900.00","75900.00","2022-04-19","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," PURCHASING OF ADSL BUNDLE FOR GM, FM, HR","specs/","Telone","10229269","2022-04-19 14:00:27","523001",,"direct_purchases/Quotation.pdf",,,,,,,,,,"Direct Purchase",,,"acc473330","harare"
"D22042015","PCR TEST FOR P. CHATO","1","DILON CURIS","11600.00","11600.00","2022-04-20","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," COVID 19 PCR TEST FOR P. CHATO","specs/","DILON CURIS","10229314","2022-04-20 14:28:29","523001",,"direct_purchases/Invoice zesa Wayne April 2022.pdf",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D22042131","Sanitary services for Apr 2022","1","CLEARDEAN PROPERTY CLEANERS","77970.00","77970.00","2022-04-21","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Sanitary bins an services April 2022","specs/","CLEARDEAN PROPERTY CLEANERS","10229365","2022-04-21 13:08:55","523001",,"direct_purchases/1650546534scan0142.pdf",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D22042155","Sanitary services for March 2022","1","CLEARDEAN PROPERTY CLEANERS","77970.00","77970.00","2022-04-21","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Sanitary services March 2022","specs/","CLEARDEAN PROPERTY CLEANERS","10229365","2022-04-21 13:06:44","523001",,"direct_purchases/scan0142.pdf",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D22042258","COVID 19 PCR TEST","1","DILON CURIS","11600.00","11600.00","2022-04-20","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," PCR Test for P. Chato (EAST)","specs/","DILON CURIS","10229314","2022-04-22 09:23:25","523001",,"direct_purchases/1650619405Invoice zesa Wayne April 2022.pdf",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D22042260","OSHEMAC 2 TRAINING FEES","1","NSSA","140000.00","140000.00","2022-04-21","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," OSHEMAC COURSE PART 2 FOR MASENDEKE & GOHODZI","specs/","NSSA","10229377","2022-04-22 08:23:04","523001",,"direct_purchases/ZETDC Proforma Invoice April 2022.pdf",,,,,,,,,,"Direct Purchase",,,"acc473660","harare"
"D2204265","Filing Cabinet","1","Teecherz Home & Office","174100.00","174100.00","2022-04-19","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Furniture for Safety & Health Office","specs/","Teecherz Home & Office","10229582","2022-04-26 10:01:21","523001",,"direct_purchases/1650967281ace.pdf",,,,,,,,,,"Direct Purchase",,,"acc475300","harare"
"D22042680","Visitors Chair","1","Teecherz Home & Office","99000.00","99000.00","2022-04-19","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Furniture for Safety & Health Office","specs/","Teecherz Home & Office","10229578","2022-04-26 10:03:30","523001",,"direct_purchases/1650967410ace.pdf",,,,,,,,,,"Direct Purchase",,,"acc475300","harare"
"D22042683","Swivel Chair","1","Teecherz Home & Office","220000.00","220000.00","2022-04-19","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Furniture for Safety & Health Office","specs/","Teecherz Home & Office","10229580","2022-04-26 10:05:01","523001",,"direct_purchases/1650967501ace.pdf",,,,,,,,,,"Direct Purchase",,,"acc475300","harare"
"D22042684","Executive desk","1","Teecherz Home & Office","165600.00","165600.00","2022-04-19","imgs/","Lifestyle Centre","0","0","0000-00-00","imgs/","Lyria Investments","0","0","0000-00-00","imgs/"," Furniture for Safety & Health Office","specs/","Teecherz Home & Office","10229587","2022-04-26 09:58:06","523001",,"direct_purchases/ace.pdf",,,,,,,,,,"Direct Purchase",,,"acc475300","harare"
"D22042927","Rent ","1","JJ maintenance","143100.00","143100.00","2022-04-29","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent for Mwale E MAY 2022","specs/","JJ maintenance","10229787","2022-04-29 14:30:55","523001",,"direct_purchases/Invocie for rent - May 2022 - 13 Campbelton road , bluffhil harare-1.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22042975","coffee ingredients","1","servcor Tsepo","245595.00","245595.00","2022-04-29","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Purchase of Coffee nescafe for the coffee machines","specs/","servcor Tsepo","10229788","2022-04-29 14:32:57","523001",,"direct_purchases/Tsebo Zimbabwe (Pvt) Ltd QU-000002880_20220429084108.pdf",,,,,,,,,,"Direct Purchase",,,"acc473690","harare"
"D22050437","Flat sheet ceiling 2400x1200x4.5mm","1","Turnal","780517.73","780517.73","2022-05-04","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Flat sheet ceiling for Function room 2","specs/","Turnal","10229864","2022-05-04 12:00:42","523001",,"direct_purchases/scan0136.pdf",,,,,,,,,,"Direct Purchase",,,"acc475005","harare"
"D22050510","electrical works","1","electrosales","74799.00","74799.00","2022-05-05","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Purchasing of 3 core 2.5mm cable for Dunkeld residency","specs/","electrosales","10229916","2022-05-05 14:05:41","523001",,"direct_purchases/cable.pdf",,,,,,,,,,"Direct Purchase",,,"acc475005","harare"
"D2205054","zimpost bills and handling services","1","zimpost","53277.01","53277.01","2022-05-05","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," zimpost bills and handling services Chitungwiza District outstanding invoice number 197412","specs/","zimpost","10230014","2022-05-05 14:31:45","523001",,"direct_purchases/scan0022.pdf",,,,,,,,,,"Direct Purchase",,,"acc473340","harare"
"D22050557","Lunch meals for SHE Meeting-20 pple","1","MAMBOS CHICKEN","91800.00","91800.00","2022-05-04","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Lunch meals for SHE Meeting","specs/","MAMBOS CHICKEN","10229937","2022-05-05 06:34:43","523001",,"direct_purchases/20220505_083249.jpg",,,,,,,,,,"Direct Purchase",,,"acc473700","harare"
"D22050611","Rent ","1","Guest and Tanner","89995.00","89995.00","2022-05-06","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Payment of rent to Guest and Tanner Westgate Mbavarira","specs/","Guest and Tanner","10230061","2022-05-06 12:17:03","523001",,"direct_purchases/ZETDC WESTGATE MAY RENT ADVICE NOTE.docx",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22050633","Rent ","1","Guest and Tanner","381770.00","381770.00","2022-05-06","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Ruwa depot May 2022 ","specs/","Guest and Tanner","10230060","2022-05-06 12:15:24","523001",,"direct_purchases/ZETDC RUWA MAY RENTADVICE NOTE.docx",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22050651","Rent ","1","higher dimension","60000.00","60000.00","2022-05-06","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Njenda May 2022 Rental","specs/","higher dimension","10230064","2022-05-06 13:05:45","523001",,"direct_purchases/19 Dan Judson May rent 5.5.220001_2.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22050919","Coffee Nescafe 1kg","24","Tsebo","10228.67","245488.08","2022-05-09","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Coffe Nescafe 1kg x 24","specs/","Tsebo","10229297","2022-05-09 09:09:50","523001",,"direct_purchases/1652087390scan0023.pdf",,,,,,,,,,"Direct Purchase",,,"acc473690","harare"
"D22050948","guard rooms ","4","Woodrow","207200.00","828800.00","2022-05-09","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Guardroom for seke depot and substations 
4 x 2m rooms with IBR Roof ","specs/","Woodrow","10230147","2022-05-09 13:06:09","524402",,"direct_purchases/ACE- Guardrooms.docx",,,,,,,,,,"Direct Purchase",,,"acc475500","harare"
"D22050960","Zimpost bills and handling services","1","zimpost","196906.00","196906.00","2022-05-09","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Zimpost bills and handling invoice number 197410 East District","specs/","zimpost","10230015","2022-05-09 09:26:30","523001",,"direct_purchases/scan0021.pdf",,,,,,,,,,"Direct Purchase",,,"acc473340","harare"
"D22050975","Zimpost bills and handling services","1","zimpost","202361.00","202361.00","2022-05-09","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Zimpost bills and handling North Distict invoice number 197409","specs/","zimpost","10230126","2022-05-09 09:52:29","523001",,"direct_purchases/scan0024.pdf",,,,,,,,,,"Direct Purchase",,,"acc473340","harare"
"D22050978","Zimpost bills and handling services ","1","zimpost","150983.00","150983.00","2022-05-09","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Zimpost bills and handling services invoice number 197411","specs/","zimpost","10230016","2022-05-09 09:21:33","523001",,"direct_purchases/scan0019.pdf",,,,,,,,,,"Direct Purchase",,,"acc473340","harare"
"D22051211","Adv Certificate in Company Direction Fees ","1","Institute of Directors of Zimbabwe","128384.24","128384.24","2022-05-12","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Advanced Certificate  in Company Direction fees for Eng. P. Mundenda","specs/","Institute of Directors of Zimbabwe","10230375","2022-05-12 14:54:00","523001",,"direct_purchases/P Mundenda ACCD Invoice (1) RTGS.pdf",,,,,,,,,,"Direct Purchase",,,"acc473440","harare"
"D22051218","refuse collection","1","clean city","64921.00","64921.00","2022-05-12","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," refuse collection Wynne street offices","specs/","clean city","10230313","2022-05-12 09:59:49","523001",,"direct_purchases/Econet Services Tax Clearance 2022 (1).pdf",,,,,,,,,,"Direct Purchase",,,"acc473440","harare"
"D22051272","Rent ","1","Sandevan","150000.00","150000.00","2022-05-12","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Rent payment for Makove E May 2022","specs/","Sandevan","10230283","2022-05-12 08:01:34","523001",,"direct_purchases/MAKOVE MaY 2022.docx",,,,,,,,,,"Direct Purchase",,,"acc474015","harare"
"D22051299","membership fees","1","Institute of Directors of Zimbabwe","8471616.00","8471616.00","2022-05-12","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Institute of Directors of Zimbabwe Membership fees for Eng. P. Mundenda","specs/","Institute of Directors of Zimbabwe","10230376","2022-05-12 14:49:25","523001",,"direct_purchases/membership rtgs.pdf",,,,,,,,,,"Direct Purchase",,,"acc473440","harare"
"D22051383","upper manyame","1","Upper Manyame","22261541.00","22261541.00","2022-05-13","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," payment of ground water levies","specs/","Upper Manyame","10230450","2022-05-13 14:40:44","523001",,"direct_purchases/Zetdc invoice.pdf",,,,,,,,,,"Direct Purchase",,,"acc473440","harare"
"D22051769","RENTAL FOR THE MONTH OF MAY 2022 FOR G SATANDE BOR","1","Zoomway","240000.00","240000.00","2022-05-17","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," May 2022 rental for Mr Satande SCSO Borowdale depot","specs/","Zoomway","10230565","2022-05-17 12:44:19","523001",,"direct_purchases/scan0029.pdf",,,,,,,,,,"Direct Purchase",,,"acc474010","harare"
"D22051782","EMA LICENSES","1","ENVIRONMENTAL MANAGEMENT AGENCY","322014.00","322014.00","2022-05-17","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Renewal of EMA Licenses. Hazardous ","specs/","ENVIRONMENTAL MANAGEMENT AGENCY","10230567","2022-05-17 14:23:00","523001",,"direct_purchases/scan0004.pdf",,,,,,,,,,"Direct Purchase",,,"acc473640","harare"
"D22051861","Glasses","1","city glass","50075.00","50075.00","2022-05-18","imgs/",,"0","0","0000-00-00","imgs/",,"0","0","0000-00-00","imgs/"," Old waterfalls depot renovations","specs/","city glass","10230660","2022-05-18 14:14:54","523001",,"direct_purchases/scan0156.pdf",,,,,,,,,,"Direct Purchase",,,"acc47570","harare"
