location,depot,district,region,created_at
Sherwood Park - Part,FILABUSI DEPOT,HR NORTH DISTRICT,EASTERN REGION,2024-02-15
Seki Rd Area,NEMBUDZIYA DEPOT,HR EAST DISTRICT,HARARE REGION,2024-11-16
Surface Investments,BULAWAYO ENVIRONS  DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-02-05
Ashdown Park,GWANDA DEPOT,ZVISHAVANE DISTRICT ,HARARE REGION,2024-11-24
Rolf Valley N,MAKONI DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-05-21
All of Masvingo Province,BEITBRIDGE DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-08-31
Kambuzuma,MVUMA DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-11-15
Hatfield West,TURK MINE DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-08-08
St Mary’s,RUWA DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-01-09
Adams Barracks,MUTARE URBAN  DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2024-04-28
Hatlands Farm,MT DARWIN DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-06-21
Tafara,KADOMA RURAL DEPOT,BINDURA  DISTRICT ,EASTERN REGION,2024-03-29
Hopley,NEMBUDZIYA DEPOT,MANICALAND DISTRICT ,HARARE REGION,2024-05-19
Pension Farm,BINGA DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-01-08
Colray,BINDURA RURAL DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-10-03
Greendale - Part,BINGA DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-04-02
Matidoda,MIDDLE SABI  DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-07-16
Mt Pleasant & Heights,RUWA DEPOT,BYO EAST DISTRICT ,SOUTHERN REGION,2024-06-24
Ridgeview,CENTENARY DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-04-12
Dzivaresekwa,FILABUSI DEPOT,HWANGE DISTRICT,EASTERN REGION,2024-05-17
Monavale,CHIMANIMANI  DEPOT,GWANDA DISTRICT,NORTHERN REGION,2024-12-04
Harare Rd W,NORTON DEPOT,MUTARE DISTRICT ,WESTERN REGION,2024-02-21
Hunyani Poort,GOKWE DEPOT,ZVISHAVANE DISTRICT ,HARARE REGION,2024-02-26
Africa University,MUTARE URBAN  DEPOT,HR SOUTH DISTRICT,EASTERN REGION,2024-01-18
Sherwood Park - Part,MUTARE URBAN  DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-01-28
Harare Rd W,MAKONI DEPOT,MUTARE DISTRICT ,WESTERN REGION,2024-08-27
Barrington Rd Area,MABELREIGN DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-11-03
Highlands - Part,BEATRICE DEPOT,MUTARE DISTRICT ,SOUTHERN REGION,2024-03-30
Tynwald South,HWANGE DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-08-30
"Seke Unit A, B, C, D, E",NKAYI DEPOT,HR EAST DISTRICT,NORTHERN REGION,2024-04-18
Avila,WATERFALLS DEPOT,MUTARE DISTRICT ,WESTERN REGION,2024-09-25
S Mazorodze Areas,KWEKWE URBAN DEPOT,HR NORTH DISTRICT,EASTERN REGION,2024-08-04
Bende,SHURUGWI DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-09-14
Glen Lorne,NYANGA  DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-06-07
Komani,GOKWE DEPOT,KADOMA DISTRICT ,EASTERN REGION,2024-01-02
Borrowdale Brook,NKETA DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-07-03
Ballantyne Park,KADOMA DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2024-09-30
Kintyre,KARIBA DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-05-19
Waterfalls,BEITBRIDGE DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-04-19
Rambabvu,MVURWI DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-01-08
Rolf Valley N,RUWA DEPOT,CHITUNGWIZA DISTRICT,WESTERN REGION,2024-09-21
Upper Mt Hampden,CENTENARY DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-07-18
Pangula,ESIGODINI DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-10-09
Glen Lorne West,NYANGA  DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-01-09
Draycot,KADOMA RURAL DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-03-22
"Seke Unit K, L, M",BINGA DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-03-19
Chedgelow,BINDURA DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2024-12-19
Ashdown Park,GWANDA DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-02-04
Kensington,SOUTHERTON DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-10-18
Birthday Mine,BORROWDALE DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-11-21
Birthday Mine,KUWADZANA DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-03-12
Rydale Ridge,WARREN PARK DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-05-07
Bannockburn,CHIPINGE  DEPOT,HR EAST DISTRICT,HARARE REGION,2024-11-27
The Grange,RUSAPE  DEPOT,GWANDA DISTRICT,WESTERN REGION,2024-11-09
Chadcombe,MASVINGO  DEPOT,GWANDA DISTRICT,HARARE REGION,2024-07-15
Startmore Farm,ZENGEZA DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-05-26
Amalinda,HWANGE DEPOT,KADOMA DISTRICT ,SOUTHERN REGION,2024-03-08
Old Highfields,BROMLEY DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-07-16
Carrick,MVUMA DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-11-24
Ingwe Farm,ENTUMBANE DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-12-18
Amby,ZENGEZA DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-09-24
Amalinda Farm,JURU DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-07-16
Milton Park,MABVUKU DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-03-08
Glen Wood,BINDURA RURAL DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-12-04
Helensvale,SOUTHERTON DEPOT,GWANDA DISTRICT,WESTERN REGION,2024-10-10
Reiforntein - Part,MASHAVA  DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-03-25
Ingwe Farm,KADOMA DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2024-10-23
Umwinsidale,NEMBUDZIYA DEPOT,CHINHOYI DISTRICT ,SOUTHERN REGION,2024-04-21
Merwede,ESIGODINI DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-02-12
Matidoda,CHEGUTU RURAL DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-08-23
"Jaggers, Chibuku, DMB",CHIMANIMANI  DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-06-06
Midlands,BINGA DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-07-18
Little Norfolk,RUTENGA  DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-10-07
Ambleside,MAKONI DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-10-09
Chadcombe,CBD DEPOT,HR SOUTH DISTRICT,WESTERN REGION,2024-07-06
Surface Investments,VICTORIA FALLS DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-05-13
Greendcroft,CHEGUTU RURAL DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-12-19
Crowhill,VICTORIA FALLS DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-10-23
Borrowdale N,PLUMTREE DEPOT,MUTARE DISTRICT ,WESTERN REGION,2024-01-17
Glenview,KARIBA DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-02-11
Mabvuku,CHEGUTU DEPOT,CHITUNGWIZA DISTRICT,WESTERN REGION,2024-09-23
Greystone Park,ZENGEZA DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-09-09
Glen Norah A - Part,MABELREIGN DEPOT,KWEKWE DISTRICT ,HARARE REGION,2024-12-13
St Mary’s,MVUMA DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-11-30
Crowhill,MARONDERA DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-01-07
Helensvale S,GLENVIEW DEPOT,GWANDA DISTRICT,SOUTHERN REGION,2024-09-17
San Souci Rd Area,NKAYI DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-01-29
Prospect West,CHEGUTU RURAL DEPOT,GWANDA DISTRICT,HARARE REGION,2024-10-24
Rydale Ridge,MUTARE URBAN  DEPOT,HR EAST DISTRICT,EASTERN REGION,2024-11-05
Mutare Rd,RUWA DEPOT,MARONDERA DISTRICT ,NORTHERN REGION,2024-06-09
Dzivaresekwa,KUWADZANA DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-05-03
Africa University,MUTOKO DEPOT,MANICALAND DISTRICT ,SOUTHERN REGION,2024-10-24
Monavale,KADOMA RURAL DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-10-15
Sewage Works,BORROWDALE DEPOT,MANICALAND DISTRICT ,SOUTHERN REGION,2024-02-17
Southerton Residential,TURK MINE DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-01-01
Stanbury Park,CHIMANIMANI  DEPOT,HR SOUTH DISTRICT,EASTERN REGION,2024-11-08
Greengrove,WATERFALLS DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-04-14
Whitecliffe,MASHAVA  DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2024-12-20
Monavale,ZENGEZA DEPOT,KWEKWE DISTRICT ,WESTERN REGION,2024-11-27
Town Centre,MAKONI DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-08-06
Guildform Estate,HWANGE DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2024-12-29
Komani,JURU DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-12-11
Somerby Area,KWEKWE URBAN DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-01-04
Chadcombe,ZENGEZA DEPOT,KADOMA DISTRICT ,EASTERN REGION,2024-10-16
Bangala,BEITBRIDGE DEPOT,MANICALAND DISTRICT ,WESTERN REGION,2024-02-26
Mbare,CENTENARY DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-06-24
Tynwald South,CBD DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-05-29
Ashbritle,GLENVIEW DEPOT,BYO EAST DISTRICT ,SOUTHERN REGION,2024-01-02
Africa University,ZENGEZA DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-06-08
Greendale - Part,BINDURA RURAL DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-11-27
Kambuzuma,MVURWI DEPOT,CHINHOYI DISTRICT ,SOUTHERN REGION,2024-06-11
Safron Area,BINGA DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-03-23
Epworth,MASVINGO  DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2024-09-06
Greengrove,BEITBRIDGE DEPOT,BYO WEST DISTRICT ,EASTERN REGION,2024-11-20
Lake Chivero,CONCESSION DEPOT,HWANGE DISTRICT,SOUTHERN REGION,2024-09-21
Glenview,BORROWDALE DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-12-26
Somerby Area,BINDURA RURAL DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-01-16
Parktown,KAROI DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-02-18
Strathaven,BROMLEY DEPOT,BINDURA  DISTRICT ,HARARE REGION,2024-11-20
Harare Rd W,JURU DEPOT,BYO EAST DISTRICT ,EASTERN REGION,2024-04-14
"Seke Unit M,N, O, P",ESIGODINI DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-06-28
"Murisa T/Ship, Dema",MABELREIGN DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-08-23
3 Brigade,KAROI DEPOT,HWANGE DISTRICT,NORTHERN REGION,2024-06-22
Umwinsidale,GLENVIEW DEPOT,KWEKWE DISTRICT ,WESTERN REGION,2024-11-16
St Mary’s,WATERFALLS DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-02-21
Eastlea,MABVUKU DEPOT,HWANGE DISTRICT,EASTERN REGION,2024-08-08
Manyame Park,KAROI DEPOT,CHITUNGWIZA DISTRICT,WESTERN REGION,2024-07-21
Ashdown Park,BINDURA DEPOT,MANICALAND DISTRICT ,SOUTHERN REGION,2024-11-02
Ballantyne Park,ZENGEZA DEPOT,GWANDA DISTRICT,HARARE REGION,2024-12-28
Widdecombe,KUWADZANA DEPOT,HR EAST DISTRICT,SOUTHERN REGION,2024-12-17
Kintyre,KADOMA RURAL DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-02-10
Birthday Mine,SHURUGWI DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-09-22
Machipisa,MVURWI DEPOT,CHITUNGWIZA DISTRICT,HARARE REGION,2024-06-17
Warren Park,BYO EAST URBAN  DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-11-01
Guildform Estate,WATERFALLS DEPOT,HR EAST DISTRICT,HARARE REGION,2024-09-11
Colne Valley,MATAGA DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-04-14
Ashbritle,HWANGE DEPOT,MASVINGO DISTRICT ,EASTERN REGION,2024-09-10
BNR,MUTARE ENVIRONS  DEPOT,BYO WEST DISTRICT ,EASTERN REGION,2024-11-26
Tynwald North,MAKONI DEPOT,CHINHOYI DISTRICT ,EASTERN REGION,2024-08-27
Crowborough,JURU DEPOT,HR NORTH DISTRICT,WESTERN REGION,2024-12-27
Bikita Minerals,BYO EAST URBAN  DEPOT,CHINHOYI DISTRICT ,SOUTHERN REGION,2024-07-20
Amby,CENTENARY DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-11-14
Pomona,KADOMA DEPOT,MARONDERA DISTRICT ,EASTERN REGION,2024-07-30
GDC,TURK MINE DEPOT,KWEKWE DISTRICT ,HARARE REGION,2024-10-26
Ashbritle,WARREN PARK DEPOT,MARONDERA DISTRICT ,HARARE REGION,2024-05-05
Harare Rd W,ZENGEZA DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-09-08
San Souci Rd Area,MARONDERA RURAL DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-04-06
Milton Park,GOKWE DEPOT,HR EAST DISTRICT,EASTERN REGION,2024-03-14
Chadcombe,BINDURA DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-06-25
Chedgelow,MABVUKU DEPOT,GWANDA DISTRICT,NORTHERN REGION,2024-09-05
Logan Park,BINGA DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-06-09
Logan Park,CHIPINGE  DEPOT,HR EAST DISTRICT,HARARE REGION,2024-12-18
Greendcroft,MABVUKU DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2024-02-01
Southlea Park,BYO EAST URBAN  DEPOT,MASVINGO DISTRICT ,NORTHERN REGION,2024-04-04
"Murisa T/Ship, Dema",MUTORASHANGA DEPOT,BYO WEST DISTRICT ,NORTHERN REGION,2024-04-27
Bikita Minerals,ENTUMBANE DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-06-07
Bende,KARIBA DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2024-10-20
Pangula,BROMLEY DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-03-21
"Jaggers, Chibuku, DMB",HWANGE DEPOT,HR EAST DISTRICT,HARARE REGION,2024-12-23
22 Miles,MUTOKO DEPOT,HR NORTH DISTRICT,EASTERN REGION,2024-07-05
"Police Flats, Unit B",MUTARE ENVIRONS  DEPOT,KADOMA DISTRICT ,SOUTHERN REGION,2024-03-13
Monavale,WARREN PARK DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-04-05
Creagh,MABVUKU DEPOT,MARONDERA DISTRICT ,EASTERN REGION,2024-08-29
Komani,BROMLEY DEPOT,ZVISHAVANE DISTRICT ,NORTHERN REGION,2024-07-15
Upper Reaches Rd,MIDDLE SABI  DEPOT,ZVISHAVANE DISTRICT ,EASTERN REGION,2024-06-23
Glen Lorne,ESIGODINI DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-02-17
Lusaka,MAKONI DEPOT,MANICALAND DISTRICT ,NORTHERN REGION,2024-07-02
Hillside,CHIPINGE  DEPOT,GWANDA DISTRICT,WESTERN REGION,2024-05-02
Cotswold Hills,CHINHOYI DEPOT,MASVINGO DISTRICT ,WESTERN REGION,2024-05-04
Bonda,BULAWAYO ENVIRONS  DEPOT,HR SOUTH DISTRICT,NORTHERN REGION,2024-05-03
Southlea Park,CHEGUTU RURAL DEPOT,MANICALAND DISTRICT ,WESTERN REGION,2024-12-06
Marimba Park,WARREN PARK DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-08-31
Kambuzuma,CONCESSION DEPOT,GWANDA DISTRICT,EASTERN REGION,2024-11-07
Glenview,BROMLEY DEPOT,BYO EAST DISTRICT ,SOUTHERN REGION,2024-01-01
Highlands - Part,KADOMA RURAL DEPOT,ZVISHAVANE DISTRICT ,WESTERN REGION,2024-02-19
Bangala,BYO EAST URBAN  DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-11-02
"Seke Unit M,N, O, P",BINGA DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-06-29
Matidoda,KAROI DEPOT,GWANDA DISTRICT,EASTERN REGION,2024-07-02
Parkridge Estate,ZENGEZA DEPOT,BYO WEST DISTRICT ,EASTERN REGION,2024-01-30
Greendcroft,CHINHOYI DEPOT,BYO WEST DISTRICT ,SOUTHERN REGION,2024-02-27
S Mazorodze Areas,GOKWE DEPOT,CHINHOYI DISTRICT ,SOUTHERN REGION,2024-02-24
Hatlands Farm,PLUMTREE DEPOT,KADOMA DISTRICT ,WESTERN REGION,2024-04-01
Arda Transau,CHINHOYI DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-01-07
Getwyn,MABELREIGN DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-07-29
Whitecliffe,TURK MINE DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2024-02-27
Belvedere,BEATRICE DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-06-25
Amby,GWERU URBAN DEPOT,HR NORTH DISTRICT,EASTERN REGION,2024-08-20
Hatlands Farm,KAROI DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-02-29
Startmore Farm,ZVISHAVANE DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-05-21
Art Farm,MVURWI DEPOT,ZVISHAVANE DISTRICT ,SOUTHERN REGION,2024-09-15
Harava Dam,CHEGUTU RURAL DEPOT,HR EAST DISTRICT,HARARE REGION,2024-05-22
Harava Dam,BEITBRIDGE DEPOT,MARONDERA DISTRICT ,EASTERN REGION,2024-08-02
Pangula,MARONDERA RURAL DEPOT,MARONDERA DISTRICT ,HARARE REGION,2024-12-29
Dzivaresekwa,GLENVIEW DEPOT,MANICALAND DISTRICT ,HARARE REGION,2024-01-01
Kambuzuma South,RUTENGA  DEPOT,HR EAST DISTRICT,HARARE REGION,2024-04-16
Dzivaresekwa,BORROWDALE DEPOT,BINDURA  DISTRICT ,HARARE REGION,2024-07-31
Seki Rd N,CHEGUTU RURAL DEPOT,CHITUNGWIZA DISTRICT,SOUTHERN REGION,2024-06-09
Sherwood Park - Part,KAROI DEPOT,KWEKWE DISTRICT ,EASTERN REGION,2024-02-23
Greystone Park,BINDURA DEPOT,GWANDA DISTRICT,HARARE REGION,2024-04-19
Groombridge,MARONDERA DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-08-06
Seki Rd Area,GWANDA DEPOT,HR EAST DISTRICT,EASTERN REGION,2024-03-18
Rambabvu,MVURWI DEPOT,HR NORTH DISTRICT,SOUTHERN REGION,2024-08-16
Colne Valley,MARONDERA RURAL DEPOT,BYO EAST DISTRICT ,EASTERN REGION,2024-11-02
Uplands,GLENVIEW DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-10-27
Guzha,CENTENARY DEPOT,BYO EAST DISTRICT ,SOUTHERN REGION,2024-11-16
Meyrick Park,ESIGODINI DEPOT,MARONDERA DISTRICT ,SOUTHERN REGION,2024-03-16
Park Meadowlands,NYANGA  DEPOT,CHINHOYI DISTRICT ,WESTERN REGION,2024-02-22
Rydale Ridge,ESIGODINI DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-05-17
St Mary’s,BINGA DEPOT,MARONDERA DISTRICT ,HARARE REGION,2024-02-13
Birchenough Bridge,KARIBA DEPOT,MUTARE DISTRICT ,EASTERN REGION,2024-04-26
Old Highfields,GOKWE DEPOT,MANICALAND DISTRICT ,EASTERN REGION,2024-01-01
Warren Park - Part,GWANDA DEPOT,MUTARE DISTRICT ,HARARE REGION,2024-06-01
Greystone Park,WATERFALLS DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-05-18
Amalinda Farm,MASVINGO  DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-04-14
Mufakose,JURU DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-10-18
Highlands - Part,MAKONI DEPOT,GWERU DISTRICT ,SOUTHERN REGION,2024-07-21
Draycot,MUTARE ENVIRONS  DEPOT,HWANGE DISTRICT,HARARE REGION,2024-08-28
Kintyre,GUTU  DEPOT,HR NORTH DISTRICT,WESTERN REGION,2024-03-01
Mutare Rd,GWERU URBAN DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-06-14
Greendcroft,RUTENGA  DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-11-06
Mutare Rd,JURU DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-07-03
Eastlea,NEMBUDZIYA DEPOT,BINDURA  DISTRICT ,EASTERN REGION,2024-10-05
Greendale - Part,CHIMANIMANI  DEPOT,GWERU DISTRICT ,NORTHERN REGION,2024-11-14
Glen Norah,RUTENGA  DEPOT,KWEKWE DISTRICT ,SOUTHERN REGION,2024-10-09
Chisipite,MASHAVA  DEPOT,BYO EAST DISTRICT ,HARARE REGION,2024-04-22
Greendale - Part,GUTU  DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-04-28
Coronation Park,MASHAVA  DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-04-10
Somerby Area,MUTARE ENVIRONS  DEPOT,MANICALAND DISTRICT ,SOUTHERN REGION,2024-03-26
Ruwa,BULAWAYO ENVIRONS  DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-12-24
Art Farm,NORTON DEPOT,BYO WEST DISTRICT ,EASTERN REGION,2024-02-22
Helensvale S,SHURUGWI DEPOT,GWANDA DISTRICT,NORTHERN REGION,2024-03-08
Rambabvu,CHIREDZI  DEPOT,HR NORTH DISTRICT,HARARE REGION,2024-08-26
Mandalay Park,MAKONI DEPOT,HR SOUTH DISTRICT,EASTERN REGION,2024-06-27
Induna,GWANDA DEPOT,CHITUNGWIZA DISTRICT,EASTERN REGION,2024-04-25
Parkridge,VICTORIA FALLS DEPOT,GWERU DISTRICT ,HARARE REGION,2024-02-10
Little Norfolk,MABELREIGN DEPOT,CHINHOYI DISTRICT ,HARARE REGION,2024-05-17
All of Masvingo Province,KADOMA DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-12-12
Machipisa,ZENGEZA DEPOT,HR NORTH DISTRICT,NORTHERN REGION,2024-06-27
Harare Rd W,JURU DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-02-07
"Jaggers, Chibuku, DMB",SHURUGWI DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-08-29
BNR,GWERU URBAN DEPOT,GWANDA DISTRICT,NORTHERN REGION,2024-12-09
Tynwald South,VICTORIA FALLS DEPOT,BYO WEST DISTRICT ,HARARE REGION,2024-05-01
Creagh,CHIPINGE  DEPOT,MASVINGO DISTRICT ,EASTERN REGION,2024-10-07
Bende,KADOMA RURAL DEPOT,CHITUNGWIZA DISTRICT,SOUTHERN REGION,2024-04-29
Upper Reaches Rd,GLENVIEW DEPOT,HR EAST DISTRICT,NORTHERN REGION,2024-06-18
Kutsaga,MUTARE ENVIRONS  DEPOT,KADOMA DISTRICT ,SOUTHERN REGION,2024-10-03
Kutsaga,CHIVHU DEPOT,BYO WEST DISTRICT ,WESTERN REGION,2024-08-01
Old Highfields,VICTORIA FALLS DEPOT,BYO EAST DISTRICT ,NORTHERN REGION,2024-09-30
Highfield,MARONDERA DEPOT,KWEKWE DISTRICT ,SOUTHERN REGION,2024-12-27
Zengeza 5 Ext,MUTARE ENVIRONS  DEPOT,KADOMA DISTRICT ,EASTERN REGION,2024-04-18
Warren Park,JURU DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-02-16
Amalinda,REDCLIFF DEPOT,HR NORTH DISTRICT,EASTERN REGION,2024-08-20
Sentosa,WATERFALLS DEPOT,HR SOUTH DISTRICT,SOUTHERN REGION,2024-02-05
Hatfield West,SOUTHERTON DEPOT,GWERU DISTRICT ,EASTERN REGION,2024-03-11
Midlands,MVURWI DEPOT,BINDURA  DISTRICT ,SOUTHERN REGION,2024-06-12
Anderson school,MUTARE ENVIRONS  DEPOT,HR EAST DISTRICT,EASTERN REGION,2024-05-05
Chiltern Hill,GOKWE DEPOT,GWERU DISTRICT ,WESTERN REGION,2024-09-27
Tynwald North,MHANGURA DEPOT,CHINHOYI DISTRICT ,NORTHERN REGION,2024-01-11
Reiforntein - Part,CENTENARY DEPOT,HWANGE DISTRICT,WESTERN REGION,2024-07-28
Bannockburn,BINDURA RURAL DEPOT,HR EAST DISTRICT,WESTERN REGION,2024-02-24
Avenues,MHANGURA DEPOT,BYO WEST DISTRICT ,EASTERN REGION,2024-11-27
Rolf Valley N,ESIGODINI DEPOT,HR EAST DISTRICT,EASTERN REGION,2024-02-12
Kensington,MASVINGO  DEPOT,MANICALAND DISTRICT ,HARARE REGION,2024-08-20
Langford Farm,MT DARWIN DEPOT,MASVINGO DISTRICT ,SOUTHERN REGION,2024-12-06
"Seke Unit A, B, C, D, E",JURU DEPOT,BINDURA  DISTRICT ,NORTHERN REGION,2024-04-25
Safron Area,MT DARWIN DEPOT,HR SOUTH DISTRICT,HARARE REGION,2024-11-19
Ashdown Park,FILABUSI DEPOT,HWANGE DISTRICT,HARARE REGION,2024-09-05
Matidoda,ESIGODINI DEPOT,KWEKWE DISTRICT ,NORTHERN REGION,2024-07-13
Birchenough Bridge,NORTON DEPOT,MASVINGO DISTRICT ,HARARE REGION,2024-08-13
Waldon Area,BINDURA RURAL DEPOT,HR NORTH DISTRICT,SOUTHERN REGION,2024-02-08
Valencedene,CHEGUTU DEPOT,KADOMA DISTRICT ,HARARE REGION,2024-08-24
Kintyre,CHIPINGE  DEPOT,MARONDERA DISTRICT ,WESTERN REGION,2024-12-06
Kensington,CHIMANIMANI  DEPOT,GWANDA DISTRICT,WESTERN REGION,2024-10-18
Amalinda Farm,CHINHOYI DEPOT,BYO EAST DISTRICT ,WESTERN REGION,2024-09-16
Seki Rd Area,NKETA DEPOT,CHITUNGWIZA DISTRICT,NORTHERN REGION,2024-05-09
Arbour Cres,MUTOKO DEPOT,MUTARE DISTRICT ,SOUTHERN REGION,2024-03-24
Queensdale,MHANGURA DEPOT,MUTARE DISTRICT ,NORTHERN REGION,2024-03-25
